2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0450 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0020 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0023 seconds
2026-04-27 03:28:38 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0427 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0025 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0028 seconds
2026-04-27 03:28:38 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-27 03:28:38 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0477 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0034 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0037 seconds
2026-04-27 03:28:39 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0514 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0019 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0021 seconds
2026-04-27 03:28:39 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-27 03:28:39 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0466 seconds
