2026-05-05 07:20:26,007 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072025.mp4
2026-05-05 07:20:26,009 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072025.mp4
2026-05-05 07:20:26,018 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 220 for camera: test_cam_01
2026-05-05 07:20:26,018 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:26.00...
2026-05-05 07:20:26,603 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072026.mp4
2026-05-05 07:20:26,603 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072026.mp4
2026-05-05 07:20:26,614 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 221 for camera: test_cam_01
2026-05-05 07:20:26,614 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:26.60...
2026-05-05 07:20:27,150 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072026.mp4
2026-05-05 07:20:27,151 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072026.mp4
2026-05-05 07:20:27,160 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 222 for camera: test_cam_01
2026-05-05 07:20:27,160 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:27.15...
2026-05-05 07:20:27,706 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072027.mp4
2026-05-05 07:20:27,707 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072027.mp4
2026-05-05 07:20:27,716 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 223 for camera: test_cam_01
2026-05-05 07:20:27,717 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:27.70...
2026-05-05 07:20:28,285 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072027.mp4
2026-05-05 07:20:28,286 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072027.mp4
2026-05-05 07:20:28,297 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 224 for camera: test_cam_01
2026-05-05 07:20:28,297 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:28.28...
2026-05-05 07:20:28,832 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072028.mp4
2026-05-05 07:20:28,833 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072028.mp4
2026-05-05 07:20:28,842 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 225 for camera: test_cam_01
2026-05-05 07:20:28,843 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:28.83...
2026-05-05 07:20:29,403 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072028.mp4
2026-05-05 07:20:29,404 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072028.mp4
2026-05-05 07:20:29,412 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 226 for camera: test_cam_01
2026-05-05 07:20:29,412 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:29.40...
2026-05-05 07:20:29,952 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072029.mp4
2026-05-05 07:20:29,953 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072029.mp4
2026-05-05 07:20:29,962 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 227 for camera: test_cam_01
2026-05-05 07:20:29,962 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:29.95...
2026-05-05 07:20:30,642 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072029.mp4
2026-05-05 07:20:30,643 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072029.mp4
2026-05-05 07:20:30,654 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 228 for camera: test_cam_01
2026-05-05 07:20:30,654 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:30.64...
2026-05-05 07:20:31,277 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072030.mp4
2026-05-05 07:20:31,278 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072030.mp4
2026-05-05 07:20:31,287 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 229 for camera: test_cam_01
2026-05-05 07:20:31,287 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:31.27...
2026-05-05 07:20:31,825 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072031.mp4
2026-05-05 07:20:31,826 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072031.mp4
2026-05-05 07:20:31,835 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 230 for camera: test_cam_01
2026-05-05 07:20:31,835 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:31.82...
2026-05-05 07:20:32,416 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072031.mp4
2026-05-05 07:20:32,416 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072031.mp4
2026-05-05 07:20:32,427 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 231 for camera: test_cam_01
2026-05-05 07:20:32,427 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:32.41...
2026-05-05 07:20:33,000 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072032.mp4
2026-05-05 07:20:33,001 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072032.mp4
2026-05-05 07:20:33,010 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 232 for camera: test_cam_01
2026-05-05 07:20:33,010 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:33.00...
2026-05-05 07:20:33,596 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072033.mp4
2026-05-05 07:20:33,596 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072033.mp4
2026-05-05 07:20:33,605 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 233 for camera: test_cam_01
2026-05-05 07:20:33,605 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:33.59...
2026-05-05 07:20:34,203 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072033.mp4
2026-05-05 07:20:34,204 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072033.mp4
2026-05-05 07:20:34,213 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 234 for camera: test_cam_01
2026-05-05 07:20:34,214 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:34.20...
2026-05-05 07:20:34,763 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072034.mp4
2026-05-05 07:20:34,764 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072034.mp4
2026-05-05 07:20:34,775 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 235 for camera: test_cam_01
2026-05-05 07:20:34,775 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:34.76...
2026-05-05 07:20:35,299 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072034.mp4
2026-05-05 07:20:35,299 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072034.mp4
2026-05-05 07:20:35,310 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 236 for camera: test_cam_01
2026-05-05 07:20:35,310 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:35.29...
2026-05-05 07:20:35,861 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072035.mp4
2026-05-05 07:20:35,862 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072035.mp4
2026-05-05 07:20:35,870 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 237 for camera: test_cam_01
2026-05-05 07:20:35,871 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:35.86...
2026-05-05 07:20:36,320 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072035.mp4
2026-05-05 07:20:36,321 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072035.mp4
2026-05-05 07:20:36,330 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 238 for camera: test_cam_01
2026-05-05 07:20:36,331 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:36.32...
2026-05-05 07:20:36,833 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072036.mp4
2026-05-05 07:20:36,834 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072036.mp4
2026-05-05 07:20:36,843 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 239 for camera: test_cam_01
2026-05-05 07:20:36,843 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:36.83...
2026-05-05 07:20:37,376 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072036.mp4
2026-05-05 07:20:37,376 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072036.mp4
2026-05-05 07:20:37,385 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 240 for camera: test_cam_01
2026-05-05 07:20:37,386 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:37.37...
2026-05-05 07:20:37,904 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072037.mp4
2026-05-05 07:20:37,905 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072037.mp4
2026-05-05 07:20:37,915 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 241 for camera: test_cam_01
2026-05-05 07:20:37,915 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:37.90...
2026-05-05 07:20:38,430 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072037.mp4
2026-05-05 07:20:38,431 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072037.mp4
2026-05-05 07:20:38,441 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 242 for camera: test_cam_01
2026-05-05 07:20:38,441 | EventManager | INFO | websocket_notifier.py:28 | [WebSocket] Broadcasting event to 0 clients: {"camera_id": "test_cam_01", "camera_asset_id": "test_cam_01", "event_time": "2026-05-05T07:20:38.43...
2026-05-05 07:20:39,031 | EventManager | INFO | video_processor.py:88 | [test_cam_01] Batch Evidence video saved at 1 FPS: evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072038.mp4
2026-05-05 07:20:39,032 | EventManager | INFO | main.py:113 | [DONE] Evidence video saved locally: /app/evidence_storage/test_cam_01/Crowd_Density/test_cam_01_20260505_072038.mp4
2026-05-05 07:20:39,042 | EventManager | INFO | database.py:73 | [PostgresManager] Successfully inserted event with ID: 243 for camera: test_cam_01
