2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0200 seconds
2026-04-29 02:35:34 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0830 seconds
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0198 seconds
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0202 seconds
2026-04-29 02:35:34 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:34 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0883 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0195 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0198 seconds
2026-04-29 02:35:35 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0855 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0196 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0199 seconds
2026-04-29 02:35:35 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0825 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0188 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0191 seconds
2026-04-29 02:35:35 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0849 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0199 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0202 seconds
2026-04-29 02:35:35 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0754 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0200 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0204 seconds
2026-04-29 02:35:35 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-29 02:35:35 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0801 seconds
2026-04-29 02:35:36 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0189 seconds
2026-04-29 02:35:36 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0192 seconds
2026-04-29 02:35:36 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-29 02:35:36 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
