2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0324 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0138 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0141 seconds
2026-04-20 13:15:04 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0395 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0127 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0133 seconds
2026-04-20 13:15:04 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0355 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0122 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0125 seconds
2026-04-20 13:15:04 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0321 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0159 seconds
2026-04-20 13:15:04 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0164 seconds
2026-04-20 13:15:04 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0331 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0131 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0134 seconds
2026-04-20 13:15:05 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0330 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0119 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0122 seconds
2026-04-20 13:15:05 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0397 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0113 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0117 seconds
2026-04-20 13:15:05 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0274 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0162 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0166 seconds
2026-04-20 13:15:05 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0332 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0123 seconds
2026-04-20 13:15:05 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0127 seconds
2026-04-20 13:15:05 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0326 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0130 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0134 seconds
2026-04-20 13:15:06 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0461 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0110 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0118 seconds
2026-04-20 13:15:06 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0344 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0112 seconds
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0115 seconds
2026-04-20 13:15:06 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-20 13:15:06 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
