2026-04-22 04:11:31 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0355 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0170 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0176 seconds
2026-04-22 04:11:31 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0418 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0166 seconds
2026-04-22 04:11:31 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0170 seconds
2026-04-22 04:11:31 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0676 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0164 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0167 seconds
2026-04-22 04:11:32 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0413 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0212 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0216 seconds
2026-04-22 04:11:32 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0347 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0167 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0172 seconds
2026-04-22 04:11:32 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0417 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0195 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0200 seconds
2026-04-22 04:11:32 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0528 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0168 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0172 seconds
2026-04-22 04:11:32 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:32 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0338 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0201 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0205 seconds
2026-04-22 04:11:33 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0339 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0205 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0209 seconds
2026-04-22 04:11:33 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0354 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0209 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0214 seconds
2026-04-22 04:11:33 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0359 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0209 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0213 seconds
2026-04-22 04:11:33 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0573 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0210 seconds
2026-04-22 04:11:33 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0214 seconds
2026-04-22 04:11:33 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0561 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0209 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0214 seconds
2026-04-22 04:11:34 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [dispatch_vision_task:-Time taken to complete one batch of processing] executed in 0.0419 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [parallel_decode_jpegs:-Time Taken to complete parallel decoding of batch's frames] executed in 0.0207 seconds
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [preprocess_messages:-Time Taken to preprocess one batch of message] executed in 0.0211 seconds
2026-04-22 04:11:34 | main.py.process_vision_stream     | [INFO ] | Task assigned: True
2026-04-22 04:11:34 | Logger.py.wrapper                   | [INFO ] | [process_detection_results:-Time taken to preprocess results] executed in 0.0000 seconds
